calc label enthalpy
e2ts_E_C_A_A_C_A_e2ts_E_C_A_B_C_A e2ts_E_C_A_A_C_A_e2ts_E_C_A_B_C_A -3003.80353879
e2ts_E_C_E_A_B_C_e2ts_E_C_E_A_C_C e2ts_E_C_E_A_B_C_e2ts_E_C_E_A_C_C -3314.09175290
e2ts_D_C_E_E_C_C_e2ts_E_C_E_E_C_C e2ts_D_C_E_E_C_C_e2ts_E_C_E_E_C_C -3369.31053261
e2ts_C_E_E_B_B_B_e2ts_C_E_E_B_C_B e2ts_C_E_E_B_B_B_e2ts_C_E_E_B_C_B -3158.23190224
e2ts_E_C_D_B_C_A_e2ts_E_C_B_B_C_A e2ts_E_C_D_B_C_A_e2ts_E_C_B_B_C_A -3207.95567084
e2ts_C_E_C_D_C_B_e2ts_D_E_C_D_C_B e2ts_C_E_C_D_C_B_e2ts_D_E_C_D_C_B -2977.20787236
e2ts_B_A_E_A_B_B_e2ts_B_A_E_B_B_B e2ts_B_A_E_A_B_B_e2ts_B_A_E_B_B_B -1101.88043747
e2ts_C_D_E_D_C_C_e2ts_C_D_E_D_C_D e2ts_C_D_E_D_C_C_e2ts_C_D_E_D_C_D -5450.42832577
e2ts_A_E_C_A_A_A_e2ts_A_E_C_A_A_C e2ts_A_E_C_A_A_A_e2ts_A_E_C_A_A_C -785.65026561
e2ts_E_A_C_E_C_B_e2ts_E_B_C_E_C_B e2ts_E_A_C_E_C_B_e2ts_E_B_C_E_C_B -3158.22604228
e2ts_C_E_A_E_C_A_e2ts_C_E_C_E_C_A e2ts_C_E_A_E_C_A_e2ts_C_E_C_E_C_A -2946.94491839
e2ts_E_D_D_C_C_A_e2ts_B_D_D_C_C_A e2ts_E_D_D_C_C_A_e2ts_B_D_D_C_C_A -3026.94111595
e2ts_E_A_A_E_C_D_e2ts_B_A_A_E_C_D e2ts_E_A_A_E_C_D_e2ts_B_A_A_E_C_D -5484.13544766
e2ts_D_D_D_E_C_B_e2ts_B_D_D_E_C_B e2ts_D_D_D_E_C_B_e2ts_B_D_D_E_C_B -2885.09591723
e2ts_A_E_C_D_A_A_e2ts_A_B_C_D_A_A e2ts_A_E_C_D_A_A_e2ts_A_B_C_D_A_A -514.55368799
e2ts_D_E_C_E_C_A_e2ts_C_E_C_E_C_A e2ts_D_E_C_E_C_A_e2ts_C_E_C_E_C_A -2946.94858305
e2ts_D_C_D_E_B_C_e2ts_D_B_D_E_B_C e2ts_D_C_D_E_B_C_e2ts_D_B_D_E_B_C -1336.09104116
e2ts_E_C_A_C_C_A_e2ts_E_C_D_C_C_A e2ts_E_C_A_C_C_A_e2ts_E_C_D_C_C_A -2930.92204926
e2ts_B_C_A_E_B_A_e2ts_B_C_A_D_B_A e2ts_B_C_A_E_B_A_e2ts_B_C_A_D_B_A -874.55682405
