calc label enthalpy
sn2_D_D_D_C_A_C sn2_D_D_D_C_A_C -847.92660500
sn2_D_D_D_B_C_A sn2_D_D_D_B_C_A -2974.00228100
sn2_D_D_D_A_C_B sn2_D_D_D_A_C_B -2869.03564946
sn2_D_D_D_A_B_D sn2_D_D_D_A_B_D -3229.08351792
sn2_D_D_D_A_B_B sn2_D_D_D_A_B_B -755.83352517
sn2_D_D_D_A_A_D sn2_D_D_D_A_A_D -2869.03562966
sn2_D_D_D_A_A_C sn2_D_D_D_A_A_C -755.83357191
sn2_D_D_C_E_C_D sn2_D_D_C_E_C_D -5450.40945088
sn2_D_D_C_E_C_C sn2_D_D_C_E_C_C -3337.20643167
sn2_D_D_C_E_C_B sn2_D_D_C_E_C_B -2977.16627660
sn2_D_D_C_E_B_C sn2_D_D_C_E_B_C -1224.00367538
sn2_D_D_C_E_B_B sn2_D_D_C_E_B_B -863.96460000
sn2_D_D_C_E_A_B sn2_D_D_C_E_A_B -503.93179515
sn2_D_D_C_D_C_C sn2_D_D_C_D_C_C -3321.16599988
sn2_D_D_C_D_C_B sn2_D_D_C_D_C_B -2961.12760782
sn2_D_D_C_D_B_C sn2_D_D_C_D_B_C -1207.96304321
sn2_D_D_C_D_B_B sn2_D_D_C_D_B_B -847.92594902
sn2_D_D_C_D_A_C sn2_D_D_C_D_A_C -847.92657571
sn2_D_D_C_D_A_B sn2_D_D_C_D_A_B -487.89098901
sn2_D_D_C_D_A_A sn2_D_D_C_D_A_A -388.69328953
sn2_D_D_C_C_B_C sn2_D_D_C_C_B_C -1260.86938297
sn2_D_D_C_C_B_B sn2_D_D_C_C_B_B -900.83628333
sn2_D_D_C_C_B_A sn2_D_D_C_C_B_A -801.63462825
sn2_D_D_C_C_A_A sn2_D_D_C_C_A_A -441.60672145
sn2_D_D_C_A_C_D sn2_D_D_C_A_C_D -5395.19855145
sn2_D_D_C_A_C_C sn2_D_D_C_A_C_C -3281.99607556
sn2_D_D_C_A_C_B sn2_D_D_C_A_C_B -2921.95532056
sn2_D_D_C_A_B_D sn2_D_D_C_A_B_D -3281.99609631
sn2_D_D_C_A_A_C sn2_D_D_C_A_A_C -808.75359597
sn2_D_D_C_A_A_A sn2_D_D_C_A_A_A -349.51810512
sn2_D_D_B_E_A_D sn2_D_D_B_E_A_D -3089.25425690
sn2_D_D_B_E_A_C sn2_D_D_B_E_A_C -976.05326022
sn2_D_D_B_E_A_B sn2_D_D_B_E_A_B -616.01642525
sn2_D_D_B_D_C_B sn2_D_D_B_D_C_B -3073.20512196
sn2_D_D_B_D_A_C sn2_D_D_B_D_A_C -960.00484937
sn2_D_D_B_A_B_A sn2_D_D_B_A_B_A -821.62838689
sn2_D_D_B_A_A_B sn2_D_D_B_A_A_B -560.79408782
sn2_D_D_A_E_C_B sn2_D_D_A_E_C_B -2885.07166167
sn2_D_D_A_E_B_B sn2_D_D_A_E_B_B -771.86905774
sn2_D_D_A_E_B_A sn2_D_D_A_E_B_A -672.66221286
sn2_D_D_A_E_A_D sn2_D_D_A_E_A_D -2885.07569544
sn2_D_D_A_D_C_B sn2_D_D_A_D_C_B -2869.03561665
sn2_D_D_A_D_B_C sn2_D_D_A_D_B_C -1115.88001591
sn2_D_D_A_D_A_D sn2_D_D_A_D_A_D -2869.03566407
sn2_D_D_A_D_A_B sn2_D_D_A_D_A_B -395.79080745
sn2_D_D_A_C_C_D sn2_D_D_A_C_C_D -5395.19855997
sn2_D_D_A_C_B_C sn2_D_D_A_C_B_C -1168.79380237
sn2_D_D_A_C_B_A sn2_D_D_A_C_B_A -709.55046990
sn2_D_D_A_C_A_B sn2_D_D_A_C_A_B -448.71707923
sn2_D_D_A_B_C_C sn2_D_D_A_B_C_C -3394.06877243
sn2_D_D_A_B_B_D sn2_D_D_A_B_B_D -3394.06851172
sn2_D_D_A_B_A_B sn2_D_D_A_B_A_B -560.79410281
sn2_D_D_A_B_A_A sn2_D_D_A_B_A_A -461.60192554
sn2_D_D_A_A_C_C sn2_D_D_A_A_C_C -3189.91006382
sn2_D_D_A_A_B_D sn2_D_D_A_A_B_D -3189.90968354
sn2_D_D_A_A_B_C sn2_D_D_A_A_B_C -1076.70635217
sn2_D_D_A_A_B_A sn2_D_D_A_A_B_A -617.45463165
sn2_D_D_A_A_A_D sn2_D_D_A_A_A_D -2829.86255707
sn2_D_D_A_A_A_B sn2_D_D_A_A_A_B -356.61679124
sn2_D_C_E_E_C_B sn2_D_C_E_E_C_B -2993.20511468
sn2_D_C_E_E_C_A sn2_D_C_E_E_C_A -2894.03016131
sn2_D_C_E_E_B_B sn2_D_C_E_E_B_B -880.00324353
sn2_D_C_E_E_A_D sn2_D_C_E_E_A_D -2993.20624049
sn2_D_C_E_E_A_C sn2_D_C_E_E_A_C -880.00505920
sn2_D_C_E_E_A_B sn2_D_C_E_E_A_B -519.97172240
sn2_D_C_E_D_B_C sn2_D_C_E_D_B_C -1223.99925204
sn2_D_C_E_D_A_C sn2_D_C_E_D_A_C -863.95893753
sn2_D_C_E_D_A_A sn2_D_C_E_D_A_A -404.74621999
sn2_D_C_E_C_C_A sn2_D_C_E_C_C_A -2930.90134265
sn2_D_C_E_C_A_B sn2_D_C_E_C_A_B -556.84278205
sn2_D_C_E_A_A_B sn2_D_C_E_A_A_B -464.75148261
sn2_D_C_E_A_A_A sn2_D_C_E_A_A_A -365.57042078
sn2_D_C_D_E_C_C sn2_D_C_D_E_C_C -3337.20965622
sn2_D_C_D_E_B_C sn2_D_C_D_E_B_C -1224.00641148
sn2_D_C_D_E_B_B sn2_D_C_D_E_B_B -863.96553767
sn2_D_C_D_E_A_D sn2_D_C_D_E_A_D -2977.17217694
sn2_D_C_D_E_A_C sn2_D_C_D_E_A_C -863.97061119
sn2_D_C_D_E_A_A sn2_D_C_D_E_A_A -404.74288245
sn2_D_C_D_D_B_D sn2_D_C_D_D_B_D -3321.16845795
sn2_D_C_D_D_A_C sn2_D_C_D_D_A_C -847.92688411
sn2_D_C_D_D_A_B sn2_D_C_D_D_A_B -487.89235740
sn2_D_C_D_C_C_C sn2_D_C_D_C_C_C -3374.08457827
sn2_D_C_D_C_B_C sn2_D_C_D_C_B_C -1260.88163358
sn2_D_C_D_C_B_B sn2_D_C_D_C_B_B -900.84497150
sn2_D_C_D_C_A_B sn2_D_C_D_C_A_B -540.81436103
sn2_D_C_D_A_B_C sn2_D_C_D_A_B_C -1168.79624475
sn2_D_C_D_A_B_A sn2_D_C_D_A_B_A -709.56726517
sn2_D_C_D_A_A_D sn2_D_C_D_A_A_D -2921.95574093
sn2_D_C_C_E_B_C sn2_D_C_C_E_B_C -1276.91509765
sn2_D_C_C_E_A_A sn2_D_C_C_E_A_A -457.65713816
sn2_D_C_C_D_B_B sn2_D_C_C_D_B_B -900.83925709
