calc label enthalpyR enthalpyP
sn2_D_D_C_C_A_A sn2_D_D_C_C_A_A -441.04821265 -342.01192089
sn2_D_D_C_A_C_D sn2_D_D_C_A_C_D -2822.26293090 -2822.26293226
sn2_D_D_C_A_C_C sn2_D_D_C_A_C_C -2822.26293355 -709.06818458
sn2_D_D_C_A_C_B sn2_D_D_C_A_C_B -2822.26292358 -349.05209759
sn2_D_D_C_A_B_D sn2_D_D_C_A_B_D -709.06816776 -2822.26293176
sn2_D_D_C_A_A_C sn2_D_D_C_A_A_C -349.05210602 -709.06819762
sn2_D_D_C_A_A_A sn2_D_D_C_A_A_A -349.05209950 -249.93903130
sn2_D_D_B_E_A_D sn2_D_D_B_E_A_D -516.34857709 -2989.55638919
sn2_D_D_B_E_A_C sn2_D_D_B_E_A_C -516.34857730 -876.36206793
sn2_D_D_B_E_A_B sn2_D_D_B_E_A_B -516.34857385 -516.34689151
sn2_D_D_B_D_C_B sn2_D_D_B_D_C_B -2973.51389798 -500.30561828
