calc label energy
e2ts_D_E_D_D_B_A e2ts_D_E_D_D_B_A -712.017019108711
e2ts_D_E_D_C_C_B-e2ts_D_E_D_E_C_B e2ts_D_E_D_E_C_B -2940.432585055473
e2ts_D_E_D_C_B_A e2ts_D_E_D_C_B_A -764.922160768655
e2ts_D_E_D_B_B_A e2ts_D_E_D_B_B_A -877.002132516561
e2ts_D_E_D_B_A_A e2ts_D_E_D_B_A_A -516.987665027775
e2ts_D_E_D_A_B_A-e2ts_D_E_D_D_B_A e2ts_D_E_D_D_B_A -712.017022602369
e2ts_D_E_D_A_B_A-e2ts_D_D_D_A_B_A e2ts_D_D_D_A_B_A -656.782022495649
e2ts_D_E_D_A_B_A e2ts_D_E_D_A_B_A -672.812965490265
e2ts_D_E_D_A_A_A-e2ts_D_E_D_C_A_A e2ts_D_E_D_C_A_A -404.906637234400
e2ts_D_E_B_A_C_B-e2ts_D_E_C_A_C_B e2ts_D_E_C_A_C_B -2938.106598584560
e2ts_D_E_A_E_B_B e2ts_D_E_A_E_B_B -788.023599677223
e2ts_D_E_A_E_B_A-e2ts_D_E_E_E_B_A e2ts_D_E_E_E_B_A -744.074903788005
e2ts_D_E_A_E_B_A-e2ts_D_E_C_E_B_A e2ts_D_E_C_E_B_A -780.946581006778
e2ts_D_E_A_E_B_A e2ts_D_E_A_E_B_A -688.839978575591
e2ts_D_E_A_D_B_A-e2ts_D_E_D_D_B_A e2ts_D_E_D_D_B_A -712.017026324814
e2ts_D_E_A_D_B_A e2ts_D_E_A_D_B_A -672.812141527398
e2ts_D_E_A_D_A_A-e2ts_E_E_A_D_A_A e2ts_E_E_A_D_A_A -328.823390005741
e2ts_D_E_A_D_A_A-e2ts_D_E_E_D_A_A e2ts_D_E_E_D_A_A -368.017624881780
e2ts_D_E_A_D_A_A-e2ts_D_E_C_D_A_A e2ts_D_E_C_D_A_A -404.904976289302
e2ts_D_E_A_D_A_A e2ts_D_E_A_D_A_A -312.784141322142
e2ts_D_E_A_C_C_B-e2ts_D_D_A_C_C_B e2ts_D_D_A_C_C_B -2922.075736433595
e2ts_D_E_A_C_C_A e2ts_D_E_A_C_C_A -2838.913164200638
e2ts_D_E_A_C_B_A-e2ts_D_E_E_C_B_A e2ts_D_E_E_C_B_A -780.950033575617
e2ts_D_E_A_A_B_A e2ts_D_E_A_A_B_A -633.609108209369
e2ts_D_E_A_A_A_A-e2ts_A_E_A_A_A_A e2ts_A_E_A_A_A_A -234.373340060480
e2ts_D_D_E_E_A_A e2ts_D_D_E_E_A_A -368.016130474111
e2ts_D_D_E_D_B_C-e2ts_D_D_E_E_B_A e2ts_D_D_E_E_B_A -728.050217652087
e2ts_D_D_E_D_B_C-e2ts_D_D_D_D_B_A e2ts_D_D_D_D_B_A -695.985654314670
e2ts_D_D_E_D_B_B-e2ts_D_D_E_E_B_B e2ts_D_D_E_E_B_B -827.233602858649
e2ts_D_D_E_D_B_A-e2ts_D_D_E_D_B_B e2ts_D_D_E_D_B_B -811.199725925290
e2ts_D_D_E_D_A_C-e2ts_D_D_E_E_A_C e2ts_D_D_E_E_A_C -827.194296250858
e2ts_D_D_E_D_A_C-e2ts_D_D_E_A_A_C e2ts_D_D_E_A_A_C -771.959717027725
e2ts_D_D_E_D_A_C e2ts_D_D_E_D_A_C -811.166794295512
e2ts_D_D_E_A_C_C-e2ts_D_D_E_D_C_C e2ts_D_D_E_D_C_C -3284.439284366073
e2ts_D_D_E_A_C_B-e2ts_D_D_E_D_C_B e2ts_D_D_E_D_C_B -2924.401826425239
e2ts_D_D_E_A_C_B-e2ts_D_D_E_A_C_C e2ts_D_D_E_A_C_C -3245.231498272366
